tasting_grape,colour,grape,document_id,known_also_as
"Il vino che si ottiene dal vitigno Abbuoto è di colore Rosso porpora . Al palato è Fruttato , Speziato , armonico , di medio corpo , tannico .",N,ABBUOTO,abbuoto,
"Il vino che si ottiene dal vitigno Abrusco è di colore Rosso rubino . Al palato è Fruttato , fine , persistente .",N,ABRUSCO,abrusco,
"Il vino che si ottiene dal vitigno Aglianico è di colore Rosso rubino . Al palato è Fruttato , Rosso rubino , fresco , tannico , di corpo .",N,AGLIANICO,aglianico,"['(266) AGLIANICO DEL VULTURE N.', 'GLIANICA', 'GLIANICO', 'ELLANICO', 'ELLENICO']"
"Il vino che si ottiene dal vitigno Aglianico del Vulture è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico , di corpo .",N,AGLIANICO DEL VULTURE,aglianico_del_vulture,['(002) AGLIANICO N.']
"Il vino che si ottiene dal vitigno Aglianicone è di colore Rosso rubino , Foxy . Al palato è Fruttato , sapido , tannico , di corpo .",N,AGLIANICONE,aglianicone,
,,AGOSTINA,agostina,
"Il vino che si ottiene dal vitigno Albana è di colore Giallo dorato . Al palato è Fruttato , fresco , morbido .",B,ALBANA,albana,
,,ALBANA ROSA Rs.,albana_rosa_rs_,
"Il vino che si ottiene dal vitigno Albanello è di colore Giallo paglierino , Giallo dorato . Al palato è Fruttato , Consistente .",B,ALBANELLO,albanello,
,B,ALBARANZEULI BIANCO,albaranzeuli_bianco,
,N,ALBARANZEULI NERO,albaranzeuli_nero,
"Il vino che si ottiene dal vitigno Albariño (Alvarinho) è di colore Giallo verdolino . Al palato è sapido , fresco , Fruttato , Minerale .",B,ALBARINO,albarino,
"Il vino che si ottiene dal vitigno Albarola è di colore Giallo paglierino . Al palato è Fruttato , Erbaceo .",B,ALBAROLA,albarola,['(26) BIANCHETTA GENOVESE B.']
"Il vino che si ottiene dal vitigno Albarossa è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico , di corpo .",N,ALBAROSSA,albarossa,
"Il vino che si ottiene dal vitigno Aleatico è di colore Rosso rubino . Al palato è Fruttato , morbido , caldo .",N,ALEATICO,aleatico,
,,ALFROCHEIRO,alfrocheiro,
"Il vino che si ottiene dal vitigno Alicante è di colore Rosso rubino . Al palato è Fruttato , secco , Fragrante , di corpo .",N,ALICANTE,alicante,"['(51)CANNONAU N.', '(236) TOCAI ROSSO N.', 'CANNONAO', 'GARNACHA TINTA', 'GRANACCIA', 'GRENACHE', 'GUARNACCIA', 'GAMAY']"
"Il vino che si ottiene dal vitigno Alicante Bouschet è di colore Rosso rubino . Al palato è Fruttato , abbastanza complesso , abbastanza intenso .",N,ALICANTE bOUSCHET,alicante_bouschet,
"Il vino che si ottiene dal vitigno Alionza è di colore Giallo paglierino . Al palato è Fruttato , abbastanza fresco , abbastanza sapido .",B,ALIONZA,alionza,
,B,ALVAREGA,alvarega,
"Il vino che si ottiene dal vitigno Ancellotta è di colore Rosso rubino . Al palato è Fruttato , morbido , poco tannico .",N,ANCELLOTTA,ancellotta,['LANCELLOTTA']
,B,ANIGA BRAGIA,aniga_bragia,
